name,content,mode,mbtree,crf,bytes,psnr_y
prog_1_18,hall_25i,prog,1,18,12483763,48.031489
mbaff_1_18,hall_25i,mbaff,1,18,10631117,49.721196
paff_1_18,hall_25i,paff,1,18,8721754,49.639365
prog_1_18,hall_25p,prog,1,18,2416220,51.290132
prog_1_23,hall_25i,prog,1,23,6536521,44.808642
mbaff_1_23,hall_25i,mbaff,1,23,5784369,46.949830
paff_1_23,hall_25i,paff,1,23,4781695,46.925445
prog_1_23,hall_25p,prog,1,23,1599015,48.862215
prog_1_28,hall_25i,prog,1,28,3419096,41.573710
mbaff_1_28,hall_25i,mbaff,1,28,3118800,44.185576
paff_1_28,hall_25i,paff,1,28,2611673,44.225419
prog_1_28,hall_25p,prog,1,28,1018104,45.429490
prog_1_33,hall_25i,prog,1,33,1820230,38.296305
mbaff_1_33,hall_25i,mbaff,1,33,1767222,41.379203
paff_1_33,hall_25i,paff,1,33,1513046,41.422231
prog_1_33,hall_25p,prog,1,33,606379,42.147879
prog_0_18,hall_25i,prog,0,18,19130680,49.981767
mbaff_0_18,hall_25i,mbaff,0,18,15192687,51.146450
paff_0_18,hall_25i,paff,0,18,12876896,51.192381
prog_0_18,hall_25p,prog,0,18,3839119,52.614163
prog_0_23,hall_25i,prog,0,23,10209005,46.763803
mbaff_0_23,hall_25i,mbaff,0,23,8374922,48.278846
paff_0_23,hall_25i,paff,0,23,7210283,48.368676
prog_0_23,hall_25p,prog,0,23,2305847,50.330957
prog_0_28,hall_25i,prog,0,28,5359100,43.552115
mbaff_0_28,hall_25i,mbaff,0,28,4572781,45.459399
paff_0_28,hall_25i,paff,0,28,3985533,45.603262
prog_0_28,hall_25p,prog,0,28,1531488,47.551033
prog_0_33,hall_25i,prog,0,33,2826524,40.309855
mbaff_0_33,hall_25i,mbaff,0,33,2501921,42.583378
paff_0_33,hall_25i,paff,0,33,2218942,42.767191
prog_0_33,hall_25p,prog,0,33,995308,44.085554
_prog_1_18,relax_25i,prog,1,18,21338119,44.568602
_mbaff_1_18,relax_25i,mbaff,1,18,21748217,44.673626
_paff_1_18,relax_25i,paff,1,18,17478825,44.490719
_prog_1_18,relax_25p,prog,1,18,8747971,44.540263
_prog_1_23,relax_25i,prog,1,23,10680450,40.647155
_mbaff_1_23,relax_25i,mbaff,1,23,10839848,40.758552
_paff_1_23,relax_25i,paff,1,23,8647886,40.225215
_prog_1_23,relax_25p,prog,1,23,5236899,40.750700
_prog_1_28,relax_25i,prog,1,28,4515184,36.675461
_mbaff_1_28,relax_25i,mbaff,1,28,4617431,36.784719
_paff_1_28,relax_25i,paff,1,28,3525953,36.138249
_prog_1_28,relax_25p,prog,1,28,2305099,36.362797
_prog_1_33,relax_25i,prog,1,33,1697231,33.221149
_mbaff_1_33,relax_25i,mbaff,1,33,1748931,33.313459
_paff_1_33,relax_25i,paff,1,33,1367528,32.463436
_prog_1_33,relax_25p,prog,1,33,864352,32.674177
_prog_0_18,relax_25i,prog,0,18,21767030,44.209630
_mbaff_0_18,relax_25i,mbaff,0,18,22029415,44.283801
_paff_0_18,relax_25i,paff,0,18,17819376,43.966266
_prog_0_18,relax_25p,prog,0,18,9181745,44.010102
_prog_0_23,relax_25i,prog,0,23,10697665,40.129715
_mbaff_0_23,relax_25i,mbaff,0,23,10765946,40.203763
_paff_0_23,relax_25i,paff,0,23,8569003,39.648584
_prog_0_23,relax_25p,prog,0,23,5192821,39.872509
_prog_0_28,relax_25i,prog,0,28,4518856,36.242388
_mbaff_0_28,relax_25i,mbaff,0,28,4560297,36.311581
_paff_0_28,relax_25i,paff,0,28,3495649,35.679995
_prog_0_28,relax_25p,prog,0,28,2202817,35.654280
_prog_0_33,relax_25i,prog,0,33,1741798,32.866339
_mbaff_0_33,relax_25i,mbaff,0,33,1766679,32.927495
