name,content,mode,mbtree,crf,bytes,psnr_y
hall_25i_prog_mb1_crf18,hall_25i,prog,1,18,12483763,48.031489
hall_25i_mbaff_mb1_crf18,hall_25i,mbaff,1,18,10631117,49.721196
hall_25i_paff_mb1_crf18,hall_25i,paff,1,18,8721754,49.639365
hall_25i_prog_mb1_crf23,hall_25i,prog,1,23,6536521,44.808642
hall_25i_mbaff_mb1_crf23,hall_25i,mbaff,1,23,5784369,46.949830
hall_25i_paff_mb1_crf23,hall_25i,paff,1,23,4781695,46.925445
hall_25i_prog_mb1_crf28,hall_25i,prog,1,28,3419096,41.573710
hall_25i_mbaff_mb1_crf28,hall_25i,mbaff,1,28,3118800,44.185576
hall_25i_paff_mb1_crf28,hall_25i,paff,1,28,2611673,44.225419
hall_25i_prog_mb1_crf33,hall_25i,prog,1,33,1820230,38.296305
hall_25i_mbaff_mb1_crf33,hall_25i,mbaff,1,33,1767222,41.379203
hall_25i_paff_mb1_crf33,hall_25i,paff,1,33,1513046,41.422231
hall_25i_prog_mb0_crf18,hall_25i,prog,0,18,19130680,49.981767
hall_25i_mbaff_mb0_crf18,hall_25i,mbaff,0,18,15192687,51.146450
hall_25i_paff_mb0_crf18,hall_25i,paff,0,18,12876896,51.192381
hall_25i_prog_mb0_crf23,hall_25i,prog,0,23,10209005,46.763803
hall_25i_mbaff_mb0_crf23,hall_25i,mbaff,0,23,8374922,48.278846
hall_25i_paff_mb0_crf23,hall_25i,paff,0,23,7210283,48.368676
hall_25i_prog_mb0_crf28,hall_25i,prog,0,28,5359100,43.552115
hall_25i_mbaff_mb0_crf28,hall_25i,mbaff,0,28,4572781,45.459399
hall_25i_paff_mb0_crf28,hall_25i,paff,0,28,3985533,45.603262
hall_25i_prog_mb0_crf33,hall_25i,prog,0,33,2826524,40.309855
hall_25i_mbaff_mb0_crf33,hall_25i,mbaff,0,33,2501921,42.583378
hall_25i_paff_mb0_crf33,hall_25i,paff,0,33,2218942,42.767191
relax_25i_prog_mb1_crf18,relax_25i,prog,1,18,21338119,44.568602
relax_25i_mbaff_mb1_crf18,relax_25i,mbaff,1,18,21748217,44.673626
relax_25i_paff_mb1_crf18,relax_25i,paff,1,18,17478825,44.490719
relax_25i_prog_mb1_crf23,relax_25i,prog,1,23,10680450,40.647155
relax_25i_mbaff_mb1_crf23,relax_25i,mbaff,1,23,10839848,40.758552
relax_25i_paff_mb1_crf23,relax_25i,paff,1,23,8647886,40.225215
relax_25i_prog_mb1_crf28,relax_25i,prog,1,28,4515184,36.675461
relax_25i_mbaff_mb1_crf28,relax_25i,mbaff,1,28,4617431,36.784719
relax_25i_paff_mb1_crf28,relax_25i,paff,1,28,3525953,36.138249
relax_25i_prog_mb1_crf33,relax_25i,prog,1,33,1697231,33.221149
relax_25i_mbaff_mb1_crf33,relax_25i,mbaff,1,33,1748931,33.313459
relax_25i_paff_mb1_crf33,relax_25i,paff,1,33,1367528,32.463436
